rowNumber,reason,question_text,subject,chapter,class_level,department,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,tags,estimated_time,image_url,alt_text_bn,question,optionA,optionB,optionC,optionD,correctAnswer
2,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,What is the capital of Bangladesh?,General Knowledge,Capital Cities,What is the capital of Bangladesh?,What is the capital of Bangladesh?,Dhaka,Chittagong,Sylhet,Rajshahi,Rajshahi,Dhaka is the capital of Bangladesh.,easy,"gk,bangladesh",1,What is the capital of Bangladesh?,A,What is the capital of Bangladesh?,Dhaka,Chittagong,Sylhet,Rajshahi,RAJSHAHI
3,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,Which planet is known as the Red Planet?,Science,Solar System,Which planet is known as the Red Planet?,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,Saturn,Mars appears red due to iron oxide on its surface.,easy,"science,space",1,Which planet is known as the Red Planet?,B,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,SATURN
4,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,What is the largest mammal in the world?,Science,Animals,What is the largest mammal in the world?,What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Orca,Orca,The blue whale is the largest known mammal.,easy,"science,biology",1,What is the largest mammal in the world?,B,What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Orca,ORCA
5,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,"Who wrote ""Gitanjali""?",Literature,Poetry,"Who wrote ""Gitanjali""?","Who wrote ""Gitanjali""?",Kazi Nazrul Islam,Rabindranath Tagore,Jibanananda Das,Jasimuddin,Jasimuddin,Rabindranath Tagore won the Nobel Prize for Gitanjali in 1913.,medium,"literature,bengali",1,"Who wrote ""Gitanjali""?",B,"Who wrote ""Gitanjali""?",Kazi Nazrul Islam,Rabindranath Tagore,Jibanananda Das,Jasimuddin,JASIMUDDIN
6,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,What is the boiling point of water at sea level?,Science,Physics,What is the boiling point of water at sea level?,What is the boiling point of water at sea level?,50Â°C,100Â°C,150Â°C,200Â°C,200Â°C,Water boils at 100 degrees Celsius at 1 atm pressure.,easy,"science,physics",1,What is the boiling point of water at sea level?,B,What is the boiling point of water at sea level?,50Â°C,100Â°C,150Â°C,200Â°C,200Â°C
7,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,Which is the longest river in the world?,Geography,Rivers,Which is the longest river in the world?,Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Mississippi,The Nile is traditionally considered the longest river.,medium,"geography,world",1,Which is the longest river in the world?,B,Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,MISSISSIPPI
8,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,What is the chemical symbol for Gold?,Science,Chemistry,What is the chemical symbol for Gold?,What is the chemical symbol for Gold?,Ag,Au,Pb,Fe,Fe,Au comes from the Latin word aurum.,medium,"science,chemistry",1,What is the chemical symbol for Gold?,B,What is the chemical symbol for Gold?,Ag,Au,Pb,Fe,FE
9,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,Bangladesh became independent in which year?,History,Liberation War,Bangladesh became independent in which year?,Bangladesh became independent in which year?,1947,1952,1971,1990,1990,Bangladesh gained independence in 1971.,easy,"history,bangladesh",1,Bangladesh became independent in which year?,C,Bangladesh became independent in which year?,1947,1952,1971,1990,1990
10,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,Who is known as the inventor of the World Wide Web?,ICT,Internet,Who is known as the inventor of the World Wide Web?,Who is known as the inventor of the World Wide Web?,Bill Gates,Steve Jobs,Tim Berners-Lee,Mark Zuckerberg,Mark Zuckerberg,Tim Berners-Lee invented the WWW in 1989.,medium,"ict,technology",1,Who is known as the inventor of the World Wide Web?,C,Who is known as the inventor of the World Wide Web?,Bill Gates,Steve Jobs,Tim Berners-Lee,Mark Zuckerberg,MARK ZUCKERBERG
11,????? ????? ?? ?? ??????: সঠিক উত্তর নির্বাচন করুন,What is the square root of 144?,Mathematics,Algebra,What is the square root of 144?,What is the square root of 144?,10,12,14,16,16,12 * 12 = 144.,easy,math,1,What is the square root of 144?,B,What is the square root of 144?,10,12,14,16,16
